date,data_transferred
2012-12-05,24
2012-12-06,2944
2012-12-09,27120
2012-12-22,32
2012-12-23,1612
2012-12-30,7180
2013-01-02,56336
2013-01-07,19828
2013-01-08,52436
2013-01-28,16
2013-01-29,25200
2013-01-30,276
2013-01-31,24
2013-02-02,260
2013-05-01,41736
2013-05-02,331232
2013-05-03,138772
2013-05-04,140144
2013-05-05,916832
2013-05-06,1323476
2013-05-07,132580
2013-09-12,1532512
2013-09-13,695548
2013-09-15,49268
2013-10-14,28412
2013-10-27,28932
2013-10-29,8
2013-10-30,4
2013-11-04,43984
2013-11-05,2992
2013-11-06,5492
2013-11-07,20916
2013-11-09,596
2013-11-11,1724
2013-11-14,296
2013-11-15,10056
2013-11-17,340
2013-11-22,48224
2013-11-23,12
2013-11-24,26596
2013-11-25,41476
2013-11-27,41504
2013-11-28,22396
2013-11-29,23032
2013-11-30,30716
2013-12-01,36148
2013-12-03,22136
2013-12-04,4
2013-12-05,100
2013-12-06,114308
2013-12-21,20936
2013-12-24,28812
2013-12-25,27988
2013-12-27,1476
2013-12-30,4
2014-01-02,148
2014-01-03,5388
2014-01-04,320
2014-01-05,11648
2014-01-06,688
2014-01-07,74320
2014-01-08,44940
2014-01-09,72460
2014-01-10,720
2014-01-12,6600
2014-01-13,24960
2014-01-14,24
2014-01-15,20380
2014-01-16,60
2014-01-17,16
2014-01-23,3676
2014-01-24,3260
2014-01-25,128592
2014-01-26,2940
2014-01-27,782248
2014-01-28,270720
2014-01-29,36
2014-01-30,36672
2014-02-03,2660
2014-02-04,224
2014-02-05,120
2014-02-06,24
2014-02-07,20
2014-02-08,12
2014-02-09,36
2014-02-10,16
2014-02-11,256
2014-02-12,28
2014-02-13,58028
2014-02-14,2948
2014-02-18,124
2014-02-20,72744
2014-02-21,5996
2014-02-24,372
2014-02-25,172
2014-02-27,160
2014-02-28,4
2014-03-01,3724
2014-03-03,1172
2014-03-04,16
2014-03-05,4
2014-03-06,248
2014-03-07,3036
2014-03-10,8
2014-03-11,28
2014-03-12,120
2014-03-14,2284
2014-03-15,8
2014-03-16,8
2014-03-17,12
2014-03-18,20
2014-03-19,12
2014-03-20,128
2014-03-21,368
2014-03-22,12
2014-03-23,348
2014-03-24,64
2014-03-25,156
2014-03-26,4
2014-03-27,3040
2014-03-28,104
2014-03-29,45284
2014-03-30,43464
2014-03-31,43048
2014-04-01,44044
2014-04-02,43896
2014-04-03,44828
2014-04-04,44268
2014-04-05,44768
2014-04-06,43792
2014-04-07,49700
2014-04-08,77004
2014-04-09,48
2014-04-10,44612
2014-04-11,46764
2014-04-12,36044
2014-04-13,32
2014-04-14,32
2014-04-15,38188
2014-04-16,32
2014-04-17,32
2014-04-18,48
2014-04-24,4
2014-04-25,216
2014-04-28,56
2014-04-29,56
2014-04-30,36588
2014-05-01,46608
2014-05-02,45164
2014-05-03,45344
2014-05-04,45988
2014-05-05,43192
2014-05-06,45156
2014-05-07,52
2014-05-08,128
2014-05-09,3804
2014-05-10,56
2014-05-11,96
2014-05-12,56
2014-05-13,56
2014-05-14,37168
2014-05-15,124
2014-05-16,388436
2014-05-17,52
2014-05-18,2912
2014-05-19,200
2014-05-20,1042844
2014-05-21,88
2014-05-22,7300
2014-05-23,409004
2014-05-24,40
2014-05-25,48
2014-05-26,44
2014-05-27,40
2014-05-28,32888
2014-05-29,1280
2014-05-30,40
2014-05-31,40
2014-06-01,40
2014-06-02,18124
