total 114458928
     24 2012-12-05
   2944 2012-12-06
  27120 2012-12-09
     32 2012-12-22
   1612 2012-12-23
   7180 2012-12-30
  56336 2013-01-02
  19828 2013-01-07
  52436 2013-01-08
     16 2013-01-28
  25200 2013-01-29
    276 2013-01-30
     24 2013-01-31
    260 2013-02-02
  41736 2013-05-01
 331232 2013-05-02
 138772 2013-05-03
 140144 2013-05-04
 916832 2013-05-05
1323476 2013-05-06
 132580 2013-05-07
1532512 2013-09-12
 695548 2013-09-13
  49268 2013-09-15
  28412 2013-10-14
  28932 2013-10-27
      8 2013-10-29
      4 2013-10-30
  43984 2013-11-04
   2992 2013-11-05
   5492 2013-11-06
  20916 2013-11-07
    596 2013-11-09
   1724 2013-11-11
    296 2013-11-14
  10056 2013-11-15
    340 2013-11-17
  48224 2013-11-22
     12 2013-11-23
  26596 2013-11-24
  41476 2013-11-25
  41504 2013-11-27
  22396 2013-11-28
  23032 2013-11-29
  30716 2013-11-30
  36148 2013-12-01
  22136 2013-12-03
      4 2013-12-04
    100 2013-12-05
 114308 2013-12-06
  20936 2013-12-21
  28812 2013-12-24
  27988 2013-12-25
   1476 2013-12-27
      4 2013-12-30
    148 2014-01-02
   5388 2014-01-03
    320 2014-01-04
  11648 2014-01-05
    688 2014-01-06
  74320 2014-01-07
  44940 2014-01-08
  72460 2014-01-09
    720 2014-01-10
   6600 2014-01-12
  24960 2014-01-13
     24 2014-01-14
  20380 2014-01-15
     60 2014-01-16
     16 2014-01-17
   3676 2014-01-23
   3260 2014-01-24
 128592 2014-01-25
   2940 2014-01-26
 782248 2014-01-27
 270720 2014-01-28
     36 2014-01-29
  36672 2014-01-30
   2660 2014-02-03
    224 2014-02-04
    120 2014-02-05
     24 2014-02-06
     20 2014-02-07
     12 2014-02-08
     36 2014-02-09
     16 2014-02-10
    256 2014-02-11
     28 2014-02-12
  58028 2014-02-13
   2948 2014-02-14
    124 2014-02-18
  72744 2014-02-20
   5996 2014-02-21
    372 2014-02-24
    172 2014-02-25
    160 2014-02-27
      4 2014-02-28
   3724 2014-03-01
   1172 2014-03-03
     16 2014-03-04
      4 2014-03-05
    248 2014-03-06
   3036 2014-03-07
      8 2014-03-10
     28 2014-03-11
    120 2014-03-12
   2284 2014-03-14
      8 2014-03-15
      8 2014-03-16
     12 2014-03-17
     20 2014-03-18
     12 2014-03-19
    128 2014-03-20
    368 2014-03-21
     12 2014-03-22
    348 2014-03-23
     64 2014-03-24
    156 2014-03-25
      4 2014-03-26
   3040 2014-03-27
    104 2014-03-28
  45284 2014-03-29
  43464 2014-03-30
  43048 2014-03-31
  44044 2014-04-01
  43896 2014-04-02
  44828 2014-04-03
  44268 2014-04-04
  44768 2014-04-05
  43792 2014-04-06
  49700 2014-04-07
  77004 2014-04-08
     48 2014-04-09
  44612 2014-04-10
  46764 2014-04-11
  36044 2014-04-12
     32 2014-04-13
